=== INTERLOCKING STRESS TEST SUITE ===

[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_89 | location: H_T_89
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_90 | location: H_T_90
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_91 | location: H_T_91
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_92 | location: H_T_92
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_93 | location: H_T_93
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_94 | location: H_T_94
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_95 | location: H_T_95
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_96 | location: H_T_96
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_97 | location: H_T_97
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_98 | location: H_T_98
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_99 | location: H_T_99
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_100 | location: H_T_100
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_101 | location: H_T_101
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_102 | location: H_T_102
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_103 | location: H_T_103
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_104 | location: H_T_104
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_105 | location: H_T_105
[CONFLICT] 2026-03-16T21:07:12.238825800 | HEAD-ON CONFLICT | train: NEW_106 | location: H_T_106
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_107 | location: H_T_107
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_108 | location: H_T_108
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_109 | location: H_T_109
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_110 | location: H_T_110
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_111 | location: H_T_111
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_112 | location: H_T_112
[CONFLICT] 2026-03-16T21:07:12.238825800 | FOLLOWING CONFLICT | train: NEW_113 | location: H_T_113
[CONFLICT] 2026-03-16T21:07:12.239825600 | FOLLOWING CONFLICT | train: NEW_114 | location: H_T_114
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_115 | location: H_T_115
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_116 | location: H_T_116
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_117 | location: H_T_117
[CONFLICT] 2026-03-16T21:07:12.239825600 | FOLLOWING CONFLICT | train: NEW_118 | location: H_T_118
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_119 | location: H_T_119
[CONFLICT] 2026-03-16T21:07:12.239825600 | FOLLOWING CONFLICT | train: NEW_120 | location: H_T_120
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_121 | location: H_T_121
[CONFLICT] 2026-03-16T21:07:12.239825600 | FOLLOWING CONFLICT | train: NEW_122 | location: H_T_122
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_123 | location: H_T_123
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_124 | location: H_T_124
[CONFLICT] 2026-03-16T21:07:12.239825600 | FOLLOWING CONFLICT | train: NEW_125 | location: H_T_125
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_126 | location: H_T_126
[CONFLICT] 2026-03-16T21:07:12.239825600 | HEAD-ON CONFLICT | train: NEW_127 | location: H_T_127
[CONFLICT] 2026-03-16T21:07:12.239825600 | FOLLOWING CONFLICT | train: NEW_128 | location: H_T_128
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_129 | location: H_T_129
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_130 | location: H_T_130
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_131 | location: H_T_131
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_132 | location: H_T_132
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_133 | location: H_T_133
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_134 | location: H_T_134
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_135 | location: H_T_135
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_136 | location: H_T_136
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_137 | location: H_T_137
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_138 | location: H_T_138
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_139 | location: H_T_139
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_140 | location: H_T_140
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_141 | location: H_T_141
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_142 | location: H_T_142
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_143 | location: H_T_143
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_144 | location: H_T_144
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_145 | location: H_T_145
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_146 | location: H_T_146
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_147 | location: H_T_147
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_148 | location: H_T_148
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_149 | location: H_T_149
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_150 | location: H_T_150
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_151 | location: H_T_151
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_152 | location: H_T_152
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_153 | location: H_T_153
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_154 | location: H_T_154
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_155 | location: H_T_155
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_156 | location: H_T_156
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_157 | location: H_T_157
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_158 | location: H_T_158
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_159 | location: H_T_159
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_160 | location: H_T_160
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_161 | location: H_T_161
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_162 | location: H_T_162
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_163 | location: H_T_163
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_164 | location: H_T_164
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_165 | location: H_T_165
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_166 | location: H_T_166
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_167 | location: H_T_167
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_168 | location: H_T_168
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_169 | location: H_T_169
[CONFLICT] 2026-03-16T21:07:12.240826600 | HEAD-ON CONFLICT | train: NEW_170 | location: H_T_170
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_171 | location: H_T_171
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_172 | location: H_T_172
[CONFLICT] 2026-03-16T21:07:12.240826600 | FOLLOWING CONFLICT | train: NEW_173 | location: H_T_173
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_174 | location: H_T_174
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_175 | location: H_T_175
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_176 | location: H_T_176
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_177 | location: H_T_177
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_178 | location: H_T_178
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_179 | location: H_T_179
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_180 | location: H_T_180
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_181 | location: H_T_181
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_182 | location: H_T_182
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_183 | location: H_T_183
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_184 | location: H_T_184
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_185 | location: H_T_185
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_186 | location: H_T_186
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_187 | location: H_T_187
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_188 | location: H_T_188
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_189 | location: H_T_189
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_190 | location: H_T_190
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_191 | location: H_T_191
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_192 | location: H_T_192
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_193 | location: H_T_193
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_194 | location: H_T_194
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_195 | location: H_T_195
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_196 | location: H_T_196
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_197 | location: H_T_197
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_198 | location: H_T_198
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_199 | location: H_T_199
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_200 | location: H_T_200
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_201 | location: H_T_201
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_202 | location: H_T_202
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_203 | location: H_T_203
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_204 | location: H_T_204
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_205 | location: H_T_205
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_206 | location: H_T_206
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_207 | location: H_T_207
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_208 | location: H_T_208
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_209 | location: H_T_209
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_210 | location: H_T_210
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_211 | location: H_T_211
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_212 | location: H_T_212
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_213 | location: H_T_213
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_214 | location: H_T_214
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_215 | location: H_T_215
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_216 | location: H_T_216
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_217 | location: H_T_217
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_218 | location: H_T_218
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_219 | location: H_T_219
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_220 | location: H_T_220
[CONFLICT] 2026-03-16T21:07:12.241826 | HEAD-ON CONFLICT | train: NEW_221 | location: H_T_221
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_222 | location: H_T_222
